optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_confusion_matrix,test_roc_auc,test_aupr
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",1,8.94049859046936,0.2860165416389704,0.9148833333333334,0.18075211215377474,0.9471,0.9464496137333368,0.9467033900880301,0.9465458985736033,0.9412078725063677,"[[ 957    0    2    1    0    5    7    4    3    1]
 [   0 1114    4    1    0    2    4    3    7    0]
 [   6    3  968   17    3    0    7   19    9    0]
 [   1    1   10  936    0   35    1    8   10    8]
 [   0    1    6    0  926    1    9    7    5   27]
 [   5    0    0   12    2  837    9    4   21    2]
 [   7    3    3    0   10    8  919    0    8    0]
 [   1    8    8   12    4    0    0  968    1   26]
 [   8    2    6   11    3   12    7    4  913    8]
 [   5    4    0   10   29    8    0   13    7  933]]",0.9974806957809527,0.9846314521802171
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",2,9.964742183685303,0.15677309180097654,0.9543333333333334,0.15815326794141385,0.9563,0.9560849330165706,0.9558430794471711,0.9559083218292199,0.9514369903448785,"[[ 964    1    1    0    1    2    5    2    2    2]
 [   0 1120    3    0    0    0    3    1    7    1]
 [   6    1  980    9    5    0    2   14   14    1]
 [   0    1   12  944    0   20    0   10   13   10]
 [   3    2    9    1  933    0    1    3    7   23]
 [   3    0    2   15    1  846    4    2   13    6]
 [   6    3    3    0    9   14  914    0    9    0]
 [   1    6    8    5    3    0    0  986    2   17]
 [   5    1    3    7   10    8    2    9  918   11]
 [   3    6    2    6   17    2    1    5    9  958]]",0.9981361721718187,0.9885275820910838
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",3,9.802465200424194,0.13493885399401187,0.9604,0.16323546511578574,0.955,0.9549056801147542,0.9546562782975941,0.9546411152266121,0.9500131037607111,"[[ 962    0    3    1    0    0    4    1    6    3]
 [   0 1111    4    1    0    2    5    3    9    0]
 [   5    3  977   15    3    0    2   10   16    1]
 [   1    3   10  949    1   17    0    5   21    3]
 [   1    0   10    0  923    0    8   11    8   21]
 [   3    0    0   11    1  839   12    1   17    8]
 [   4    2    4    0    8   12  922    0    6    0]
 [   2    5    5    8    3    1    0  986    4   14]
 [   2    1    5    6    2    4    6    4  940    4]
 [   5    5    0    5   20    5    1   11   16  941]]",0.9980685426311764,0.9883184846249338
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",4,9.949438333511353,0.1180857897331162,0.9663333333333334,0.14484059661762572,0.9617,0.9615704866785197,0.9614642049448907,0.9614295763404794,0.95744832520252,"[[ 964    0    2    2    0    2    3    2    3    2]
 [   0 1114    4    1    1    1    4    1    9    0]
 [   4    1  991   15    3    0    2    5   10    1]
 [   0    1    6  974    0   13    0    4   11    1]
 [   1    1    5    0  948    0    8    3    1   15]
 [   5    0    0   16    1  854    3    2    7    4]
 [   8    3    2    1   10   12  916    0    6    0]
 [   2    4   12   13    0    0    0  980    2   15]
 [   2    0    3   15    2    7    1    2  936    6]
 [   3    7    0   12   21    4    1    8   13  940]]",0.9986287302044234,0.9912102980306123
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",5,10.063511848449707,0.10583662151989992,0.9686833333333333,0.14120384823605672,0.9639,0.9637243231694633,0.9635258316606705,0.9635673284245904,0.959885308423814,"[[ 972    0    0    1    1    0    1    2    3    0]
 [   0 1113    2    0    1    1    3    2   11    2]
 [   2    1 1002    7    6    1    1    7    4    1]
 [   0    0   14  969    1    5    0    4   12    5]
 [   2    1    3    0  949    0    3    8    3   13]
 [   3    0    1   17    1  848    7    2    7    6]
 [   8    2    2    1   11   13  916    0    5    0]
 [   3    3   11    8    2    0    0  994    1    6]
 [   2    0    7    9    8    7    3    3  928    7]
 [   6    3    0   11   18    3    0   14    6  948]]",0.9986193067695781,0.9916080226658976
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",6,10.008575439453125,0.09205235051383497,0.9724833333333334,0.14208680858222397,0.9631,0.9625548517953353,0.9627965508591629,0.9626473952872973,0.9589913521071111,"[[ 963    0    1    2    0    5    5    2    2    0]
 [   0 1118    2    0    1    2    3    4    4    1]
 [   7    4  990    8    4    1    2    7    8    1]
 [   0    0    3  969    0   19    0    8    8    3]
 [   1    0    5    0  941    0    8    3    2   22]
 [   2    0    1   12    1  855    8    2    6    5]
 [   5    3    2    0    3   14  927    1    3    0]
 [   2    1   10   10    4    1    0  991    2    7]
 [   5    0    8   13    6    8    5    4  924    1]
 [   4    3    0    8   18    7    0    9    7  953]]",0.9986492555782398,0.9913685044546824
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",7,9.947160005569458,0.08754956305656426,0.9737666666666667,0.1290225700052712,0.9667,0.9665008503110737,0.9664358709924711,0.9664507758335367,0.9629895581065161,"[[ 960    0    4    0    0    1    6    4    3    2]
 [   0 1116    5    0    1    1    1    2    7    2]
 [   1    0  993   10    2    0    3   12    8    3]
 [   2    0    4  979    1    8    0    6    8    2]
 [   1    0    7    0  942    2    4    7    4   15]
 [   2    0    2   16    2  853    4    1    7    5]
 [   6    3    2    1    4   10  929    0    3    0]
 [   1    4    9    5    2    0    1  987    3   16]
 [   1    0    3    5    3    6    4    3  944    5]
 [   2    4    0    3   16    5    0    9    6  964]]",0.9988341772468642,0.9926607312270948
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",8,9.86850905418396,0.07563344695145109,0.9777333333333333,0.1363704651308354,0.9654,0.9650413512067001,0.964988198012585,0.9649821431752695,0.9615480452494201,"[[ 957    0    2    2    1    3    7    2    1    5]
 [   0 1122    2    2    0    1    3    0    5    0]
 [   3    1  995   16    2    1    3    3    7    1]
 [   0    0    8  976    0   11    0    4    7    4]
 [   2    0    6    0  948    0    4    7    2   13]
 [   2    0    0   20    2  850    6    1    8    3]
 [   5    2    0    0    6   10  935    0    0    0]
 [   2    5    8    6    1    1    0  993    1   11]
 [   2    2    7    7    5   15    5    3  922    6]
 [   1    6    0   10   15    7    1    7    6  956]]",0.9987161581837528,0.9925240915352305
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",9,9.747813940048218,0.07550744913622233,0.9766,0.1335375220649413,0.9677,0.9676753141678631,0.9672678109101087,0.967409256287174,0.964109080890072,"[[ 958    0    3    0    0    3    4    6    4    2]
 [   0 1120    5    1    0    1    2    0    6    0]
 [   4    1  998    7    2    0    3    9    8    0]
 [   0    0   11  974    0    5    0    4   11    5]
 [   3    3    6    0  937    0    3    4    3   23]
 [   3    0    1   17    0  846    5    1   10    9]
 [   6    3    0    0    4    4  935    0    6    0]
 [   1    1    5    3    2    1    1 1003    3    8]
 [   2    0    5    6    2    6    3    5  945    0]
 [   2    7    1    6    8    5    1    7   11  961]]",0.9988703131026426,0.9930398475510577
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",10,9.73202133178711,0.0699806055710457,0.9787166666666667,0.146769721528396,0.9669,0.9667878895045255,0.9665568873862384,0.9666304998090505,0.9632167199029151,"[[ 964    1    0    0    0    1    6    2    3    3]
 [   2 1116    5    2    0    1    2    4    3    0]
 [   2    0 1010    3    3    1    1    7    4    1]
 [   1    0   12  972    0    7    0    9    6    3]
 [   2    3    5    0  940    0    4   10    1   17]
 [   3    0    0   11    1  860    6    1    5    5]
 [  10    2    2    0    9    8  925    1    1    0]
 [   1    3   10    1    2    0    0 1002    1    8]
 [   2    0    7   10   11    7    4    5  919    9]
 [   2    2    0    4   19    1    0   11    9  961]]",0.998605583712149,0.9917452439618476
