optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_confusion_matrix,test_roc_auc,test_aupr
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",1,8.928858041763306,0.2860165416389704,0.9148833333333334,0.18075211215377474,0.9471,0.9464496137333368,0.9467033900880301,0.9465458985736033,0.9412078725063677,"[[ 957    0    2    1    0    5    7    4    3    1]
 [   0 1114    4    1    0    2    4    3    7    0]
 [   6    3  968   17    3    0    7   19    9    0]
 [   1    1   10  936    0   35    1    8   10    8]
 [   0    1    6    0  926    1    9    7    5   27]
 [   5    0    0   12    2  837    9    4   21    2]
 [   7    3    3    0   10    8  919    0    8    0]
 [   1    8    8   12    4    0    0  968    1   26]
 [   8    2    6   11    3   12    7    4  913    8]
 [   5    4    0   10   29    8    0   13    7  933]]",0.9974806957809527,0.9846314521802171
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",2,9.913249254226685,0.1569370187945664,0.9533333333333334,0.15963185278341002,0.9546,0.9545929340879891,0.9544228620562121,0.9543372502915466,0.9495759211680858,"[[ 965    1    0    0    0    4    3    2    4    1]
 [   0 1110    3    0    0    0    5    1   15    1]
 [   7    4  969    7    4    0    2   17   20    2]
 [   0    2   13  949    0   21    0   10   11    4]
 [   2    2   10    0  931    0    7    4    7   19]
 [   2    0    0   11    1  854    3    2   14    5]
 [  10    3    0    0    8   17  907    0   13    0]
 [   1    6    7    3    3    1    0  979    5   23]
 [   4    0    2    7    5    6    1    6  933   10]
 [   5    3    0    8   21    1    0    4   18  949]]",0.9980869100887014,0.9882781106964108
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",3,10.156249761581421,0.1291461425838371,0.9608833333333333,0.141904146398344,0.9571,0.9567828806776232,0.9566273727270858,0.9566491637011854,0.9523263875376743,"[[ 964    0    0    0    0    1    9    1    4    1]
 [   0 1117    2    2    0    2    2    2    8    0]
 [   3    1  987   13    3    0    3   11   10    1]
 [   0    1    7  960    0   18    0    8   11    5]
 [   2    2    8    0  917    0    7   11    9   26]
 [   3    1    0   11    2  843   13    2   10    7]
 [   3    2    5    1    6   10  924    1    6    0]
 [   1    8    6    7    2    0    0  987    4   13]
 [   5    0    6   11    4   10    5    4  920    9]
 [   7    4    0   10    9    5    1   11   10  952]]",0.9984925929039697,0.990157484000403
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",4,10.118374586105347,0.11203628672206153,0.9664833333333334,0.13369480928860994,0.9617,0.9617798421591759,0.9614943011238306,0.9615314052804139,0.9574518831657168,"[[ 963    0    2    1    0    3    5    2    3    1]
 [   0 1113    3    3    1    2    3    0   10    0]
 [   6    1  983   18    2    1    1    9    9    2]
 [   0    0    5  982    0    5    0    5    9    4]
 [   1    1    7    0  935    0    2    8    3   25]
 [   3    0    0   19    3  853    4    1    5    4]
 [   8    2    3    0    7   13  920    0    5    0]
 [   1    6   12   14    0    1    0  972    3   19]
 [   3    0    4   14    2    5    1    3  941    1]
 [   4    6    1    6   14    3    0    7   13  955]]",0.9986769907399564,0.9914832612553685
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",5,10.078129053115845,0.09922568599628284,0.9703666666666667,0.1237505312815432,0.9632,0.9631627815562608,0.9629677493623877,0.9629692578494218,0.9591170012904724,"[[ 968    0    0    0    1    3    2    0    5    1]
 [   0 1110    3    2    1    3    2    1   12    1]
 [   6    3  992   13    4    0    2    7    5    0]
 [   1    0    7  975    0   11    0    2    6    8]
 [   2    1    1    0  935    0    3    8    3   29]
 [   3    0    0   19    1  846    9    1    4    9]
 [  12    2    0    0    5    5  927    0    6    1]
 [   3    6   12    9    3    1    0  973    3   18]
 [   2    0    1    6    4    6    1    3  945    6]
 [   5    3    0    9   13    3    1    4   10  961]]",0.9989058650459579,0.9927319603283757
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",6,10.13609004020691,0.08869096311923737,0.9727833333333333,0.13791849356442773,0.96,0.959403490768669,0.959767214620428,0.9595028651517058,0.9555579384438341,"[[ 961    0    1    1    1    7    3    2    2    2]
 [   0 1113    4    2    0    3    2    2    9    0]
 [   5    4  989    6    3    1    2    8   14    0]
 [   0    0    2  969    0   15    0    7    9    8]
 [   2    0    2    0  943    0    6    4    3   22]
 [   3    0    2   13    0  858    8    2    4    2]
 [  16    2    1    1    6   12  919    0    1    0]
 [   2    4   10    8    2    0    0  989    2   11]
 [   8    1    2    8    6   18    3    4  920    4]
 [   4    2    0   11   18   17    0    9    9  939]]",0.9986866203127368,0.9913135609778034
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",7,10.065778970718384,0.08332601247359998,0.9739666666666666,0.1153904077143761,0.9671,0.9668296132302008,0.9669913676157222,0.9668516503449138,0.9634445235794145,"[[ 965    1    1    0    0    5    3    1    2    2]
 [   0 1115    1    1    0    2    1    1   13    1]
 [   8    1  981   13    4    0    2   14    8    1]
 [   1    0    3  967    0   15    0   10    7    7]
 [   2    0    4    0  956    0    3    7    1    9]
 [   4    0    0    8    0  858    6    0    7    9]
 [   7    2    1    0    4    6  934    0    4    0]
 [   2    5    5    5    1    0    0 1000    3    7]
 [   2    0    2    5    3    4    0    6  944    8]
 [   4    5    0    8   28    7    0    2    4  951]]",0.9989779821320122,0.99347999158768
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",8,9.995985984802246,0.07537673857804232,0.9765166666666667,0.12510733108737826,0.9679,0.9676798289949163,0.9677030569645785,0.9676151412178406,0.9643365364231123,"[[ 957    1    3    2    0    5    4    4    2    2]
 [   0 1123    2    2    0    1    2    0    5    0]
 [   3    4  991   15    0    1    2    8    8    0]
 [   0    0    3  983    0   14    0    4    5    1]
 [   1    2    5    0  952    1    4    5    2   10]
 [   1    0    0   12    1  868    4    1    4    1]
 [   7    2    0    2    6   10  928    0    3    0]
 [   2    5    8    4    3    2    0  993    3    8]
 [   5    2    2   11    5   11    2    2  931    3]
 [   1    5    1    9   17    5    0    9    9  953]]",0.99887666086409,0.9931234384252944
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",9,9.995207786560059,0.06979047052444269,0.9781333333333333,0.1126853922743145,0.9685,0.9685063865553225,0.9680738941865135,0.968218113247325,0.9649994579370154,"[[ 962    0    1    0    0    2    5    5    3    2]
 [   0 1120    5    1    0    1    2    0    6    0]
 [   4    2 1001    5    1    0    5   10    4    0]
 [   2    1   10  982    1    4    0    3    5    2]
 [   2    2    5    0  947    0    6    4    1   15]
 [   2    0    0   21    1  842   10    2    8    6]
 [   1    3    0    1    3    2  944    0    4    0]
 [   2    3   12    4    2    1    0  995    4    5]
 [   5    0    7    8    2    5    4    4  937    2]
 [   3    5    1    9   14    3    3    8    8  955]]",0.9990605373053885,0.9941179909312519
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",10,10.016581296920776,0.0664603716863785,0.9789666666666667,0.13133176706206706,0.9671,0.9670551871929177,0.9669631417026313,0.9669083878274456,0.9634542991531083,"[[ 961    0    1    0    1    2    2    6    2    5]
 [   0 1111    6    0    0    2    1    6    6    3]
 [   2    1 1001    1    4    0    1   15    7    0]
 [   0    0   10  963    0   11    0   11    8    7]
 [   1    1    1    0  955    0    5    5    2   12]
 [   4    0    0    6    2  865    4    1    5    5]
 [  11    2    2    0   10    6  926    0    1    0]
 [   0    1    8    1    1    0    0 1009    2    6]
 [   2    0    5    6    7    6    5    7  931    5]
 [   3    1    1    3   35    2    0    7    8  949]]",0.9986121958184864,0.9924904816591253
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",11,10.152583122253418,0.06018244185788402,0.9810166666666666,0.1134076125497918,0.9719,0.9715892270141187,0.9716983619767792,0.971611987906137,0.9687728958700333,"[[ 968    0    1    1    0    2    2    1    2    3]
 [   0 1122    5    0    1    1    2    0    4    0]
 [   4    2 1003    6    3    1    1    8    4    0]
 [   1    0    4  980    0   13    1    4    3    4]
 [   1    0    1    0  958    0    7    0    0   15]
 [   4    0    0    5    0  867    3    0    9    4]
 [  13    2    1    1    7    5  928    0    1    0]
 [   1    5    8    0    5    1    0  995    0   13]
 [   9    0    2    6    3    7    2    6  935    4]
 [   2    3    0    3   18    6    0   10    4  963]]",0.9990486838148703,0.9939447343234746
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",12,10.121901750564575,0.06199502806798361,0.98065,0.11525081998711895,0.9699,0.9696934431943871,0.9695302630082537,0.969590156350779,0.9665468517231461,"[[ 966    0    0    2    1    3    2    3    3    0]
 [   0 1121    4    1    1    1    1    1    5    0]
 [   5    0 1000    4    2    1    2   10    7    1]
 [   0    0    5  985    1    5    0    7    3    4]
 [   1    1    0    0  948    0    7    0    1   24]
 [   4    0    0   17    1  856    4    1    5    4]
 [   8    4    1    0    7    8  928    0    2    0]
 [   1    4    8    5    0    0    0 1000    0   10]
 [   4    1    3    9    6    8    3    5  930    5]
 [   2    4    0    6   13    4    0    6    9  965]]",0.9990913013291408,0.994199784975964
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",13,9.872446537017822,0.058407677679684515,0.98095,0.11507029943931384,0.9718,0.9716452956788114,0.9715632468076351,0.9715875346296491,0.9686577551591006,"[[ 962    0    2    0    2    3    6    3    1    1]
 [   0 1122    3    0    0    0    4    1    5    0]
 [   5    2  998    9    2    0    2   10    4    0]
 [   0    0   10  977    0    7    0    5    5    6]
 [   1    0    6    0  957    0    6    2    0   10]
 [   2    0    0   13    1  858    6    1    6    5]
 [   2    2    0    0    5    6  940    0    3    0]
 [   1    4    6    6    4    0    0  996    1   10]
 [   3    0    2    4    3    2    5    6  943    6]
 [   0    2    1    7   21    3    2    5    3  965]]",0.9990100168720948,0.9938072150776354
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",14,9.897718667984009,0.05482725126189568,0.98275,0.11791229804483289,0.9728,0.9725886885328082,0.9724585521849338,0.9725085830725126,0.9697686187348412,"[[ 966    0    0    1    1    3    4    1    2    2]
 [   0 1117    3    1    0    1    3    4    6    0]
 [   2    3 1004    4    3    0    2    7    7    0]
 [   1    1    4  986    0    2    0    5    8    3]
 [   2    0    2    0  951    0    4    2    1   20]
 [   1    0    0   13    1  851    8    4    8    6]
 [   9    3    2    0    3    6  935    0    0    0]
 [   1    1    9    1    1    1    1 1004    2    7]
 [   5    1    3    4    9    4    1    2  943    2]
 [   2    3    1    5   16    6    0    3    2  971]]",0.9989717362499804,0.9936816524329352
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",15,10.209610223770142,0.055582474232527115,0.9830166666666666,0.11290799033698519,0.971,0.9707852290989087,0.9706524857548973,0.970703937065054,0.9677682454048177,"[[ 963    0    2    2    0    3    3    1    2    4]
 [   0 1117    3    2    0    2    1    2    8    0]
 [   4    1 1008    5    1    0    1    6    6    0]
 [   1    0    7  978    0    7    0    5    7    5]
 [   2    1    4    0  948    0    3    3    3   18]
 [   3    1    0   12    2  856    7    2    8    1]
 [   6    3    2    0    4    9  930    1    3    0]
 [   0    3    7    0    0    0    0 1006    1   11]
 [   5    0    7    4    4    6    2    5  934    7]
 [   2    3    1    4   12    5    0    9    3  970]]",0.9990959365147744,0.9942257442201464
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",16,10.179423570632935,0.05124192288573831,0.9831333333333333,0.10897935865505598,0.9723,0.9723394178835358,0.9718568017200996,0.9720107605417635,0.9692274684461002,"[[ 963    0    2    2    2    0    4    5    2    0]
 [   1 1128    0    2    0    0    1    0    3    0]
 [   8    2  993    6    3    0    1    9   10    0]
 [   0    0    5  991    0    3    0    6    4    1]
 [   0    0    0    0  966    0    7    6    0    3]
 [   4    0    0   21    2  847    4    1    6    7]
 [   5    2    1    0    3    5  939    0    3    0]
 [   2    4    6    7    2    0    0  994    2   11]
 [   5    0    2    7    6    3    5    5  935    6]
 [   1    3    0    8   17    3    0    8    2  967]]",0.9992294306696712,0.9947648192383076
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",17,10.028648614883423,0.04802400786282572,0.9848666666666667,0.11412937520941333,0.9691,0.9689508275933166,0.9688727878589172,0.9688534897434037,0.965666668629018,"[[ 968    0    2    0    2    1    1    1    3    2]
 [   0 1117    4    1    1    2    2    0    8    0]
 [   3    1 1014    4    2    0    1    3    4    0]
 [   0    0   10  961    0   21    0    4    7    7]
 [   0    0    3    1  943    0    5    2    1   27]
 [   4    0    0    5    1  861    9    3    5    4]
 [   8    3    1    0    4    4  933    2    3    0]
 [   2    9   13    2    0    0    0  986    7    9]
 [   4    1   10    2    7    6    5    2  933    4]
 [   0    4    1    4   12    2    0    7    4  975]]",0.9991648946012299,0.9949317010827874
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",18,10.052780151367188,0.04783983813097293,0.98485,0.1150027628324451,0.9736,0.9735356476533473,0.973365602281328,0.9734289811642334,0.9706595850912049,"[[ 965    1    0    1    1    0    1    3    4    4]
 [   0 1122    4    1    0    0    2    0    6    0]
 [   5    0 1003    1    2    0    3    5   13    0]
 [   1    0    2  982    0    8    0    5    9    3]
 [   1    1    4    0  944    0    4    3    3   22]
 [   3    0    0    5    1  864    6    0    9    4]
 [   6    2    0    0    6    5  937    0    2    0]
 [   0    6    6    5    3    1    0 1001    1    5]
 [   2    1    5    5    3    3    2    4  944    5]
 [   0    4    1    4   12    1    0    8    5  974]]",0.999055914725164,0.994141085833224
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",19,9.835883617401123,0.0447290451567329,0.9860166666666667,0.10666499905702524,0.9736,0.9733848415103484,0.9734354811607611,0.9733791961470561,0.9706624319927862,"[[ 969    0    1    1    0    1    6    1    0    1]
 [   1 1124    1    1    0    0    2    0    6    0]
 [   3    0  998    7    2    0    3    7   12    0]
 [   1    2    5  973    0   15    0    6    5    3]
 [   2    1    3    0  957    0    3    2    3   11]
 [   3    0    0    5    1  866    6    1    6    4]
 [   2    3    1    0    5    6  938    0    3    0]
 [   2    2   10    0    0    0    0 1006    2    6]
 [   3    0    3    4    3    2    2    6  947    4]
 [   2    4    0    7   18    1    0   11    8  958]]",0.9991895988919393,0.9949342393335673
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",20,9.872524976730347,0.043889272383975914,0.9866333333333334,0.10213987988356439,0.9754,0.9752714316411272,0.9751208927651195,0.9751776937215567,0.9726597683053678,"[[ 966    0    2    0    1    2    3    1    3    2]
 [   0 1127    1    1    0    0    1    1    4    0]
 [   5    0 1011    5    1    0    1    4    4    1]
 [   0    0    8  977    0   13    0    6    4    2]
 [   0    3    0    0  950    0    4    2    3   20]
 [   2    1    0    6    1  866    4    0    8    4]
 [   4    2    1    0    4    4  938    0    5    0]
 [   2    4   10    3    0    1    0  999    1    8]
 [   5    1    5    3    4    5    2    2  941    6]
 [   1    5    1    6    4    3    0    6    4  979]]",0.9992946168954013,0.9953678935473873
CoBAMSGrad2_HS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'HS', 'lam': 2.0, 'a': 1, 'm': 1}",21,9.989335775375366,0.04156753557824607,0.9863666666666666,0.10788276128892357,0.9735,0.9734710187953903,0.9732029041097636,0.9733194417436277,0.9705467886142114,"[[ 971    1    1    1    1    0    3    1    1    0]
 [   0 1125    1    0    1    0    3    2    3    0]
 [   2    2  999    4    1    0    3   10   10    1]
 [   0    1    4  977    0    7    0    4    9    8]
 [   0    0    6    0  955    0    2    2    1   16]
 [   4    0    1   11    2  857    6    1    6    4]
 [   2    3    1    0    5    6  940    0    1    0]
 [   1    5    8    2    1    1    0  998    0   12]
 [   6    0    3    7    5    1    3    3  939    7]
 [   2    4    2    7   10    2    0    4    4  974]]",0.9992140724347796,0.9950081390336599
