optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",1,11.329590797424316,0.2860165416389704,0.9148833333333334,0.18075211215377474,0.9471
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",2,13.165087699890137,0.1565665814912257,0.9544,0.15775404052069475,0.9551
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",3,13.150525569915771,0.13281974987443537,0.9616,0.15908907638407482,0.9561
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",4,13.078270435333252,0.11864349144522567,0.9652166666666666,0.15046443790355443,0.9594
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",5,12.997478485107422,0.10517607132335349,0.9694833333333334,0.1436541652488848,0.9597
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",6,13.134302377700806,0.09300718156127259,0.97225,0.14114712257966244,0.9606
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",7,13.066736936569214,0.08582296554828063,0.9742833333333333,0.12214318569078951,0.9677
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",8,13.109544038772583,0.07450713546313734,0.9773166666666666,0.1346888809041495,0.9663
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",9,12.979596853256226,0.07280321484288822,0.9774166666666667,0.12466557582414056,0.9699
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",10,13.017688274383545,0.06683522227613527,0.9791833333333333,0.13387866699032744,0.9672
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",11,13.162658214569092,0.06372679230372305,0.98005,0.12020738202944212,0.9709
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",12,12.947810173034668,0.06457116185844256,0.9805333333333334,0.13565117942519786,0.9663
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",13,13.188227653503418,0.05542214432998541,0.9824666666666667,0.12949546622166383,0.9682
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",14,13.029669761657715,0.0571141513870185,0.9820833333333333,0.13011635241163255,0.971
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",15,13.260957956314087,0.05665088675649313,0.98255,0.12133819634533348,0.9707
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",16,13.109775304794312,0.05290961131523654,0.98395,0.1315277313501625,0.9693
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",17,13.002191305160522,0.0516119020806024,0.9838833333333333,0.13512244823302497,0.9662
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",18,13.077116012573242,0.04837678094039438,0.98455,0.12485369922606783,0.972
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",19,13.023178815841675,0.047308561633636906,0.9849833333333333,0.13013158142787312,0.9716
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",20,13.220216274261475,0.04584357447350727,0.9855666666666667,0.11968744827196172,0.9728
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",21,13.109636068344116,0.043128545084271656,0.9860166666666667,0.13374189036103679,0.9725
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",22,12.992696523666382,0.046456200878598,0.9852,0.1204510829283849,0.9723
CoBAMSGrad2_LS(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'LS', 'lam': 2.0, 'a': 1, 'm': 1}",23,13.076662063598633,0.0408147791994658,0.9868166666666667,0.11880396858991474,0.9743
