optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",1,67.08503079414368,1.5458623073290072,0.43534,1.290871929518784,0.5328
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",2,88.70078492164612,1.1730214526586216,0.57566,1.071761559836472,0.6207
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",3,91.17397785186768,0.97117442197507,0.6533,0.9583018490030796,0.6612
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",4,92.4066321849823,0.8392013306812862,0.70284,0.8663247687907158,0.7001
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",5,90.17880368232727,0.7390811806139739,0.73874,0.8074914941304847,0.718
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",6,90.06522011756897,0.6586726871140473,0.76976,0.7674098874949202,0.7303
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",7,89.95283579826355,0.5843592526967568,0.79544,0.7504041519346116,0.743
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",8,90.31182289123535,0.5205365658339942,0.81828,0.726609247394755,0.7507
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",9,90.33592581748962,0.46768441796302795,0.83446,0.7522072214869004,0.7511
CoBAMSGrad2_DY(const),"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'DY', 'lam': 2.0, 'a': 1, 'm': 1}",10,90.6524407863617,0.41157225471780734,0.85336,0.7401104735422738,0.757
