optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",1,66.99218368530273,1.5458623073290072,0.43534,1.290871929518784,0.5328
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",2,82.22163915634155,1.1706857297121716,0.57548,1.0719951413854767,0.6206
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",3,82.12185192108154,0.9684931535245208,0.65306,0.9509811982323851,0.6654
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",4,82.4654061794281,0.8363346015400899,0.70188,0.8542976168137563,0.7024
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",5,82.18520164489746,0.7343452816729046,0.73968,0.7924424394776549,0.7248
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",6,82.22300577163696,0.657757030042541,0.76972,0.7569235563278198,0.7355
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",7,82.25890827178955,0.5829036865392914,0.79442,0.7474243278744854,0.7464
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",8,82.25039768218994,0.5213995365916616,0.81738,0.7368404797360867,0.7489
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",9,82.21257376670837,0.46963343527310947,0.83412,0.7450589348998251,0.7538
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",10,82.38346934318542,0.4114155585656081,0.8542,0.7411741901047623,0.7633
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",11,82.7606725692749,0.36072759966716134,0.8728,0.7631429192386096,0.7551
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",12,82.70371723175049,0.3169431775198568,0.8869,0.76879670801042,0.7632
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",13,82.35992288589478,0.2758802066907248,0.90094,0.7920391680319098,0.7683
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",14,82.41202688217163,0.24089069649234146,0.91472,0.827190494990047,0.7665
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",15,83.11068201065063,0.20590304343215646,0.9269,0.8639415547817568,0.7661
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",16,83.04487538337708,0.17111716835814364,0.93884,0.8851850885379163,0.77
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",17,82.5172770023346,0.15607950866908368,0.9442,0.9291128810447983,0.7674
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",18,82.48393821716309,0.13558374941730134,0.95122,0.9706049342698688,0.7635
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",19,82.4326491355896,0.11551404973048993,0.95864,0.9982731191417838,0.7664
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",20,82.44491696357727,0.11087741767582686,0.96034,1.0296748061723346,0.7611
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",21,82.4728901386261,0.09271033078698857,0.96778,1.0944603191146367,0.7622
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",22,81.87380814552307,0.09125821135195016,0.9674,1.0582628053954886,0.7756
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",23,82.43603849411011,0.07444198115173813,0.97416,1.1052572327324106,0.7744
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",24,82.43885827064514,0.07443656687460401,0.97422,1.1164843907839135,0.7681
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",25,82.45497131347656,0.0663328927124629,0.9764,1.1333898607688615,0.7717
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",26,82.4525454044342,0.06090848604717371,0.9784,1.124899247779122,0.7771
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",27,82.76941323280334,0.053165478529432396,0.98122,1.1638623875907705,0.7767
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",28,82.01864194869995,0.055915589613454116,0.98048,1.17167776672146,0.7729
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",29,81.97441959381104,0.05245350726196528,0.98138,1.1818141394023653,0.7715
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",30,82.0145115852356,0.04885572919984112,0.98294,1.1723747117609917,0.7739
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",31,82.00128769874573,0.046707223568473705,0.98364,1.191076926038235,0.778
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",32,81.96293902397156,0.044224922254662534,0.98398,1.2074028713793694,0.7733
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",33,81.91156721115112,0.03616618077970965,0.98722,1.2229004260859913,0.7765
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",34,81.95425772666931,0.03504088599785038,0.9886,1.2474808972093123,0.776
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",35,82.84055614471436,0.03464613658676157,0.9879,1.2845526194270653,0.7717
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",36,82.8452217578888,0.032406592155661426,0.9889,1.2602273489855513,0.7781
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",37,82.66795372962952,0.031375816027583825,0.98918,1.295985663993449,0.7759
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",38,82.7388904094696,0.033992584787018575,0.98834,1.2729511110088494,0.7806
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",39,81.89656734466553,0.03253788355013827,0.98858,1.2891525807259958,0.777
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",40,81.91012930870056,0.024750983446140958,0.9915,1.3042470775073087,0.7756
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",41,82.73237919807434,0.02606447222535415,0.99086,1.3195452803297887,0.776
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",42,82.86307573318481,0.026896104207048025,0.99036,1.345530706870405,0.7753
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",43,82.62562608718872,0.025419157424160396,0.99162,1.2809011121339435,0.7816
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",44,82.6844391822815,0.023039569491711077,0.99216,1.3222838610033445,0.7797
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",45,82.72170424461365,0.01996870591785149,0.99342,1.3522209804269332,0.7794
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",46,83.1629638671875,0.019401134392234693,0.99352,1.3691310384605504,0.7762
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",47,83.19540166854858,0.020355408310370943,0.99308,1.373984210098846,0.7748
CoBAMSGrad2_PRP,"{'period': 391, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1.00000001, 'm': 0.001}",48,82.74770307540894,0.018994962893184655,0.99384,1.3803035963939716,0.779
