optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",1,3.2860524654388428,0.6994129054991486,0.50376,0.6965787299453755,0.5052
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",2,4.383233308792114,0.6866789593187439,0.55548,0.732537315705853,0.52072
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",3,4.376993656158447,0.5860355732690953,0.65592,0.7278710164682335,0.5618
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",4,4.382866621017456,0.5186238486291198,0.7138,0.777201576001199,0.55932
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",5,4.338515281677246,0.4773542691984445,0.74668,0.8226508562979491,0.554
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",6,4.3329315185546875,0.4550892894377794,0.7632,0.8542354796701075,0.5532
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",7,4.328538656234741,0.425406431317177,0.7806,0.887575691808825,0.56676
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",8,4.332522392272949,0.40455098793177346,0.79956,0.8908668967235424,0.5738
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",9,4.3555214405059814,0.3816895022645326,0.81164,0.9093548578145864,0.58096
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",10,4.337540626525879,0.3600421654789344,0.82728,0.9285844978697769,0.58848
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",11,4.349776029586792,0.33947540027901646,0.83916,0.943913963597144,0.59648
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",12,4.431031703948975,0.3168210629516703,0.85504,0.9479224543513545,0.60596
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",13,4.419035196304321,0.29023645981155394,0.86428,1.0078310231723444,0.60016
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",14,4.433112382888794,0.26565199604500894,0.87948,1.0254800682863616,0.60432
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",15,4.330906391143799,0.25414166851040654,0.88488,1.048121984161989,0.60952
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",16,4.334153175354004,0.24165501683721763,0.89408,1.055104838688965,0.61644
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",17,4.379808664321899,0.22208631313060556,0.90388,1.060061468454578,0.61364
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",18,4.334061861038208,0.2056326492334647,0.91156,1.09308238455173,0.62612
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",19,4.3279876708984375,0.19448083081780493,0.91824,1.1034706415956284,0.62872
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",20,4.329468011856079,0.1815271392902907,0.92368,1.129103110421954,0.63356
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",21,4.3282856941223145,0.170331714803453,0.929,1.1484438983909309,0.6306
CoBAMSGrad2_CD(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",22,4.334335565567017,0.15514549465797595,0.93632,1.1555477217640109,0.63212
