optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",1,3.284454345703125,0.700331982901639,0.50408,0.6971879596143122,0.50988
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",2,3.937441110610962,0.6926105051394313,0.55992,0.7326788600448453,0.53068
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",3,3.9737274646759033,0.634920553706796,0.62956,0.7525313289269157,0.53792
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",4,4.013409852981567,0.588227537510645,0.67068,0.7723500726320555,0.55336
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",5,4.0130226612091064,0.5535251995944002,0.69884,0.8011960171906235,0.5552
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",6,4.009051322937012,0.5287070677942022,0.71812,0.8287905668053785,0.55076
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",7,4.003014087677002,0.5110442337325162,0.7316,0.8275266706638629,0.55832
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",8,4.003546714782715,0.49803961744851166,0.74252,0.8369905024462039,0.5668
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",9,3.9991209506988525,0.4944911130020381,0.7444,0.8339722492658269,0.55384
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",10,3.9217708110809326,0.4891549550625674,0.74812,0.8307998661723588,0.5582
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",11,3.921527862548828,0.4807768094227137,0.75212,0.8400472330544001,0.55544
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",12,3.930889844894409,0.4808840150075495,0.75172,0.8502138968166488,0.55608
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",13,3.92451810836792,0.4723688024655937,0.75792,0.8423201698247734,0.56548
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",14,3.915275812149048,0.47668992173488794,0.76016,0.8301309484731206,0.56108
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",15,3.913503885269165,0.4788788216726859,0.75364,0.8290069642121835,0.55888
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",16,3.918768882751465,0.4706882431988826,0.76224,0.838898535808334,0.5624
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",17,3.9798583984375,0.4636389393254619,0.76516,0.8441396101813792,0.56176
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",18,3.960752248764038,0.4598771649057908,0.76988,0.8456503609028618,0.5644
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",19,3.9607908725738525,0.4575720228959837,0.77096,0.8424392447371007,0.56852
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",20,3.95932674407959,0.4597816945570509,0.77156,0.8517747128482365,0.56888
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",21,3.961998224258423,0.4585788948723422,0.76896,0.8549024464986513,0.56444
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",22,3.9606668949127197,0.46250293205689896,0.76604,0.8472572828802611,0.56164
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",23,3.964622974395752,0.4591102618962298,0.76904,0.8362594313938599,0.565
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",24,3.9614200592041016,0.45784286945067404,0.76972,0.8332893229125405,0.56524
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",25,3.9604146480560303,0.458905391985803,0.76816,0.8379300132279506,0.56244
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",26,3.9599599838256836,0.45471947112351735,0.76972,0.8487053340124657,0.57348
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",27,3.966665506362915,0.4525745711134523,0.77036,0.8390586993197346,0.56688
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",28,3.9660985469818115,0.45443079662521174,0.77148,0.8484070434823365,0.56464
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",29,3.9725027084350586,0.4532734362403755,0.77144,0.8391367831193578,0.57132
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",30,3.99171781539917,0.4517085609000052,0.77224,0.8493689570356818,0.56748
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",31,3.9881160259246826,0.4519500769579502,0.77404,0.8387478463866217,0.5696
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",32,3.9341416358947754,0.4572034879489933,0.76988,0.8282708189524043,0.57036
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",33,3.9598164558410645,0.4564660138943616,0.76892,0.8341087647487441,0.56492
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",34,3.930144786834717,0.45411344106926027,0.77204,0.8421883729793836,0.56916
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",35,3.9269628524780273,0.4557372240344887,0.77012,0.8405461076961454,0.57288
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",36,3.9285871982574463,0.4592137433340787,0.7686,0.8478041399089272,0.57532
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",37,3.9945132732391357,0.46567197772852903,0.76404,0.8340277778141943,0.56752
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",38,4.017198085784912,0.4663628413892158,0.76388,0.8390533655424557,0.56432
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",39,4.009119749069214,0.46475277728665515,0.76424,0.8448687687020777,0.56364
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",40,4.002331733703613,0.46136424991557057,0.76584,0.8394973316537145,0.5716
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",41,3.997744083404541,0.4599293559560995,0.76748,0.8327878975045041,0.5736
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",42,4.031317710876465,0.4615085143643572,0.76608,0.8431217748185863,0.56768
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",43,4.003495693206787,0.4625668673564101,0.76556,0.828385076063978,0.56388
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",44,4.011383056640625,0.4594268655723623,0.76392,0.8263910062935041,0.57316
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",45,3.9987571239471436,0.46226387703433974,0.76624,0.8321216113655768,0.57304
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",46,4.005157709121704,0.4627893915985856,0.76632,0.8215789695453766,0.57008
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",47,4.002856016159058,0.4617719912849119,0.7654,0.8259290874842793,0.5668
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",48,4.000888109207153,0.4618998755465078,0.7676,0.816544144469149,0.57436
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",49,4.000838994979858,0.4651089837331601,0.76324,0.8158723352967626,0.56376
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",50,4.008711338043213,0.46697483977774523,0.76132,0.8235902037385785,0.56548
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",51,4.007323503494263,0.46746937008312595,0.76128,0.8277985508484609,0.56676
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",52,4.007113218307495,0.46631569478213025,0.76392,0.8256223660981868,0.56928
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",53,3.9581527709960938,0.4676684537697631,0.76268,0.818101585559223,0.5612
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",54,4.006896734237671,0.4672042701745887,0.76052,0.8256338232999567,0.56796
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",55,4.009443044662476,0.47033194084758956,0.75796,0.8261160000282175,0.5634
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",56,4.0041797161102295,0.4692089495908879,0.76316,0.8181055036499677,0.56932
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",57,4.008666276931763,0.47005643949026954,0.75972,0.8247347266015495,0.56424
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",58,3.9984843730926514,0.47454673027062355,0.75936,0.8152647381243499,0.56536
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",59,4.0095906257629395,0.46872930912791616,0.7604,0.8169015218382296,0.56496
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",60,4.0262110233306885,0.47364778776684074,0.7556,0.8110937450624183,0.56192
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",61,4.033203840255737,0.46670241440501053,0.76124,0.8170324297207395,0.56416
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",62,3.946497917175293,0.46868886688100103,0.763,0.823062371262504,0.56028
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",63,3.9560468196868896,0.4711959685587212,0.761,0.811524146315082,0.56812
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",64,4.009803295135498,0.4721237351674863,0.75956,0.8213203841310632,0.56152
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",65,4.004923343658447,0.4705548732901168,0.75892,0.8198646538702729,0.56824
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",66,3.952463150024414,0.46956642619941547,0.76256,0.821088998976266,0.56632
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",67,4.001156568527222,0.4718903917104692,0.76052,0.8207885755221253,0.56592
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",68,4.0085601806640625,0.4733167782692653,0.75828,0.8267673036783857,0.57132
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",69,3.964073657989502,0.47125947993734607,0.7604,0.8168734636376885,0.56904
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",70,4.004481792449951,0.47396728554573814,0.75692,0.8177575557052023,0.56696
CoBAMSGrad2_FR(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'FR', 'lam': 2.0, 'a': 1, 'm': 1}",71,4.007827997207642,0.4734448189739986,0.75952,0.8114514421014225,0.568
