optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",1,3.311539888381958,0.699296265306985,0.50328,0.6985765151355577,0.50984
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",2,4.041236639022827,0.6793578604755499,0.56096,0.7353681675003617,0.52432
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",3,4.036203861236572,0.5878602529654418,0.66972,0.7664798227951045,0.57384
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",4,4.044023036956787,0.5116788311611355,0.73044,0.7734778605763565,0.58832
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",5,4.055141448974609,0.4665398294549159,0.76448,0.7854242195253787,0.59344
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",6,4.039291858673096,0.4335832600017338,0.78864,0.7963320380815154,0.60888
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",7,4.043065547943115,0.410026063051675,0.80104,0.8099127810858094,0.605
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",8,4.041438341140747,0.38137197585971766,0.81896,0.8394357088734122,0.61348
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",9,4.068670749664307,0.36192355252554653,0.83072,0.8511594705417028,0.6182
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",10,4.075549602508545,0.3455915433709579,0.84216,0.8654543204075845,0.62124
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",11,4.081110000610352,0.337393101057052,0.84704,0.8583819628371607,0.62244
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",12,4.080760717391968,0.3202736239089533,0.85492,0.8791745832890195,0.63012
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",13,4.089401960372925,0.30245891960380633,0.86508,0.8983232359523359,0.63532
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",14,4.088857650756836,0.2881889331161671,0.8726,0.9052363814371626,0.63728
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",15,4.080717086791992,0.2719970423147044,0.88136,0.9221622816208378,0.63748
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",16,4.074076890945435,0.26356482492459704,0.8854,0.9337588621451117,0.64412
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",17,4.0786566734313965,0.2581092327394906,0.88736,0.9813060222379387,0.62912
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",18,4.036806583404541,0.24473786292611943,0.89464,0.9549957281716949,0.64132
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",19,4.084067344665527,0.23815627695273256,0.89944,0.9637816400479173,0.65016
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",20,4.0842225551605225,0.22795040739219055,0.90288,0.9964905126244211,0.64564
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",21,4.038674592971802,0.21786116863912938,0.90956,1.0008744497585784,0.6532
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",22,4.033979892730713,0.21540265178779508,0.90872,1.0051542194679266,0.6458
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",23,4.036329984664917,0.20508748753582273,0.91524,1.0110335927027876,0.65404
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",24,3.999497652053833,0.1993441299375747,0.91816,1.036138919956239,0.65628
CoBAMSGrad2_PRP(const),"{'period': 782, 'lr': 0.01, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'PRP', 'lam': 2.0, 'a': 1, 'm': 1}",25,4.089646816253662,0.18172299190688773,0.92592,1.0481971699334776,0.65788
