optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",1,2.893986463546753,0.6693634295936131,0.56132,0.6124408632288199,0.68224
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",2,2.888986349105835,0.508406654267055,0.7506,0.5351626135008719,0.74
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",3,2.8829965591430664,0.3695447704542781,0.83584,0.5123770658660423,0.7512
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",4,2.8903849124908447,0.27059106927012544,0.8868,0.5722406077320161,0.75528
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",5,2.8888399600982666,0.19792664036764512,0.92156,0.6001403861872071,0.75536
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",6,2.876042604446411,0.14765197061040364,0.94204,0.7107987128903189,0.75364
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",7,2.884523391723633,0.10881375252505017,0.95928,0.8612633326360027,0.75052
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",8,2.885808229446411,0.09258580406356003,0.96448,0.8617890791495895,0.74976
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",9,2.8840434551239014,0.07897523757965898,0.97124,0.9184712905751165,0.75232
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",10,2.884427547454834,0.06746127003032114,0.9754,1.0155287281326626,0.7502
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",11,2.889936685562134,0.06021703824372914,0.97868,1.046766283929043,0.75224
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",12,2.88114333152771,0.057864754149132606,0.97896,1.0277893053715492,0.74412
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",13,2.875284433364868,0.05493457951989975,0.98076,1.0692410800424987,0.74864
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",14,2.874134063720703,0.050580768435469964,0.9812,1.160856907627524,0.75068
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",15,2.871565341949463,0.050389658834617296,0.98148,1.174010925623767,0.74196
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",16,2.87041974067688,0.04724492985584602,0.98332,1.1819030459484328,0.7494
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",17,2.871767520904541,0.04524714254322411,0.98388,1.1863431075726019,0.741
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",18,2.8716206550598145,0.0364918632790401,0.98588,1.2728362070763355,0.74788
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",19,2.877469539642334,0.03650229714738722,0.987,1.2282028503506386,0.7422
RMSProp_Existing,"{'lr': 0.01, 'momentum': 0, 'alpha': 0.99, 'eps': 1e-08, 'centered': False, 'weight_decay': 0, 'foreach': None, 'maximize': False, 'differentiable': False}",20,2.8712754249572754,0.03537218494671564,0.98736,1.2814395189323389,0.738
