optimizer,optimizer_parameters,epoch,time,train_loss,train_accuracy,test_loss,test_accuracy
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",1,8.6088547706604,0.2860165416389704,0.9148833333333334,0.18075211215377474,0.9471
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",2,9.549665451049805,0.15560919288735217,0.9548666666666666,0.15626195517328445,0.9568
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",3,9.441890954971313,0.13393277221601457,0.9607333333333333,0.15948024663788538,0.9567
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",4,9.429459571838379,0.11831909540337511,0.96555,0.14480659955694636,0.9592
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",5,9.498543500900269,0.10539179709102027,0.9692333333333333,0.1319442415626135,0.9656
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",6,9.530784606933594,0.09190336345167986,0.9725833333333334,0.14942764112913484,0.9632
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",7,9.454802989959717,0.08893510145082836,0.9724833333333334,0.1262514064729678,0.9664
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",8,9.681235551834106,0.07751067982021098,0.97655,0.1298284566202108,0.9684
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",9,9.703491926193237,0.07602595875860813,0.9767166666666667,0.12789023253862514,0.9663
CoBAMSGrad2_CD(const),"{'period': 1875, 'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0, 'amsgrad': True, 'cg_type': 'CD', 'lam': 2.0, 'a': 1, 'm': 1}",10,9.702313423156738,0.07143519108064163,0.9781833333333333,0.14028422449621847,0.9687
